文章ID,语言,平台,标题,公开URL,人工验收,归档处置,当前公开页技术状态,归档路径
A-01,英语,WordPress.com,Plan a MiniMax H3 Start-and-End-Frame Launch Clip From Box to Desk,https://bestimageai.wordpress.com/2026/09/14/plan-a-minimax-h3-start-and-end-frame-launch-clip-from-box-to-desk/,HUMAN_ACCEPTED,HUMAN_ACCEPTED,PUBLIC_QA_PASSED,en/wordpress-com
A-02,西班牙语,Blogger,De una habitación vacía a un rincón cálido: planifica una transición breve con MiniMax H3,,NOT_ACCEPTED,PUBLICATION_UNKNOWN_NO_OWNER_RETURN,PUBLICATION_UNKNOWN_NO_OWNER_RETURN,retrospective-not-accepted/es/blogger
A-03,葡萄牙语（巴西）,Tumblr,Vídeo de convite de casamento com IA: do convite impresso à recepção azul e dourada,https://www.tumblr.com/bestimageai/827725056937443328/v%C3%ADdeo-de-convite-de-casamento-com-ia-do-convite?source=share,HUMAN_ACCEPTED,HUMAN_ACCEPTED,PUBLIC_QA_PASSED,pt/tumblr
A-04,法语,OverBlog,"MiniMax H3 : préparer un teaser de café, de l’ardoise au dessert",https://bestimage888.overblog.fr/2026/09/minimax-h3-preparer-un-teaser-de-cafe-de-l-ardoise-au-dessert.html,HUMAN_ACCEPTED,HUMAN_ACCEPTED,PUBLIC_QA_PASSED,fr/overblog
A-05,德语,Substack,Ein Schaufenster-Reel mit Papiermotiven planen: vom Ladenschluss zur warmen Buchneuheiten-Auslage,,NOT_ACCEPTED,OWNER_REPORTED_PLATFORM_BLOCKED,OWNER_REPORTED_PLATFORM_BLOCKED,retrospective-not-accepted/de/substack
A-06,繁体中文,Medium,把手工保養品包裝放上浴室層架：9:16 短片的分鏡規劃,https://medium.com/@bestimage888/%E6%8A%8A%E6%89%8B%E5%B7%A5%E4%BF%9D%E9%A4%8A%E5%93%81%E5%8C%85%E8%A3%9D%E6%94%BE%E4%B8%8A%E6%B5%B4%E5%AE%A4%E5%B1%A4%E6%9E%B6-9-16-%E7%9F%AD%E7%89%87%E7%9A%84%E5%88%86%E9%8F%A1%E8%A6%8F%E5%8A%83-1a44ca1ca226,HUMAN_ACCEPTED,HUMAN_ACCEPTED,PUBLIC_QA_PASSED,zh-tw/medium
A-07,俄语,vc.ru,Бриф для ролика: как превратить предметное фото наушников в сцену поездки,,NOT_ACCEPTED,OWNER_REPORTED_PLATFORM_CONSTRAINED_NO_ATTEMPT_RECORDED,OWNER_REPORTED_PLATFORM_CONSTRAINED_NO_ATTEMPT_RECORDED,retrospective-not-accepted/ru/vc-ru
A-08,日语,Ameba Blog,季節の茶葉パウチから静かな茶卓へ：MiniMax H3で設計する縦型動画,https://ameblo.jp/314645757/entry-12978717640.html,HUMAN_ACCEPTED,HUMAN_ACCEPTED,PUBLIC_READER_QA_PASSED,ja/ameba-blog
A-09,俄语,Mataroa,Утренний кадр и короткий процесс-ролик: как собрать спокойную историю в MiniMax H3,https://best-image-ai.mataroa.blog/blog/minimax-h3/,HUMAN_ACCEPTED,HUMAN_ACCEPTED,PUBLIC_QA_PASSED,ru/mataroa
A-10,日语,Zenn,MiniMax H3で講座から作品ボードへ：5秒予告,https://zenn.dev/bestimageai/articles/7e31055884c721,HUMAN_ACCEPTED,HUMAN_ACCEPTED,PUBLIC_READER_QA_PASSED,ja/zenn
